X,Delta_g
-2113.04,0.00184479
-2109.7,0.00184931
-2106.37,0.00185384
-2103.03,0.00185839
-2099.7,0.00186296
-2096.37,0.00186754
-2093.03,0.00187213
-2089.7,0.00187674
-2086.36,0.00188137
-2083.03,0.00188601
-2079.69,0.00189066
-2076.36,0.00189533
-2073.02,0.00190002
-2069.69,0.00190472
-2066.36,0.00190944
-2063.02,0.00191417
-2059.69,0.00191892
-2056.35,0.00192368
-2053.02,0.00192846
-2049.68,0.00193326
-2046.35,0.00193807
-2043.01,0.0019429
-2039.68,0.00194774
-2036.35,0.0019526
-2033.01,0.00195748
-2029.68,0.00196237
-2026.34,0.00196728
-2023.01,0.0019722
-2019.67,0.00197715
-2016.34,0.0019821
-2013,0.00198708
-2009.67,0.00199207
-2006.34,0.00199708
-2003,0.00200211
-1999.67,0.00200715
-1996.33,0.00201221
-1993,0.00201728
-1989.66,0.00202238
-1986.33,0.00202749
-1982.99,0.00203261
-1979.66,0.00203776
-1976.33,0.00204292
-1972.99,0.0020481
-1969.66,0.0020533
-1966.32,0.00205851
-1962.99,0.00206375
-1959.65,0.002069
-1956.32,0.00207427
-1952.98,0.00207955
-1949.65,0.00208486
-1946.32,0.00209018
-1942.98,0.00209552
-1939.65,0.00210088
-1936.31,0.00210626
-1932.98,0.00211165
-1929.64,0.00211706
-1926.31,0.0021225
-1922.97,0.00212795
-1919.64,0.00213342
-1916.31,0.00213891
-1912.97,0.00214441
-1909.64,0.00214994
-1906.3,0.00215549
-1902.97,0.00216105
-1899.63,0.00216663
-1896.3,0.00217224
-1892.96,0.00217786
-1889.63,0.0021835
-1886.3,0.00218916
-1882.96,0.00219484
-1879.63,0.00220054
-1876.29,0.00220626
-1872.96,0.002212
-1869.62,0.00221776
-1866.29,0.00222354
-1862.95,0.00222934
-1859.62,0.00223516
-1856.29,0.002241
-1852.95,0.00224686
-1849.62,0.00225274
-1846.28,0.00225865
-1842.95,0.00226457
-1839.61,0.00227051
-1836.28,0.00227648
-1832.94,0.00228246
-1829.61,0.00228847
-1826.28,0.00229449
-1822.94,0.00230054
-1819.61,0.00230661
-1816.27,0.0023127
-1812.94,0.00231881
-1809.6,0.00232495
-1806.27,0.0023311
-1802.93,0.00233728
-1799.6,0.00234348
-1796.27,0.0023497
-1792.93,0.00235594
-1789.6,0.00236221
-1786.26,0.00236849
-1782.93,0.0023748
-1779.59,0.00238113
-1776.26,0.00238749
-1772.92,0.00239387
-1769.59,0.00240027
-1766.26,0.00240669
-1762.92,0.00241313
-1759.59,0.0024196
-1756.25,0.00242609
-1752.92,0.00243261
-1749.58,0.00243914
-1746.25,0.00244571
-1742.91,0.00245229
-1739.58,0.0024589
-1736.25,0.00246553
-1732.91,0.00247219
-1729.58,0.00247887
-1726.24,0.00248557
-1722.91,0.0024923
-1719.57,0.00249905
-1716.24,0.00250583
-1712.9,0.00251263
-1709.57,0.00251946
-1706.24,0.00252631
-1702.9,0.00253318
-1699.57,0.00254008
-1696.23,0.00254701
-1692.9,0.00255396
-1689.56,0.00256093
-1686.23,0.00256793
-1682.89,0.00257496
-1679.56,0.00258201
-1676.23,0.00258909
-1672.89,0.00259619
-1669.56,0.00260332
-1666.22,0.00261048
-1662.89,0.00261766
-1659.55,0.00262487
-1656.22,0.0026321
-1652.88,0.00263936
-1649.55,0.00264665
-1646.22,0.00265396
-1642.88,0.00266131
-1639.55,0.00266867
-1636.21,0.00267607
-1632.88,0.00268349
-1629.54,0.00269094
-1626.21,0.00269842
-1622.87,0.00270592
-1619.54,0.00271346
-1616.21,0.00272102
-1612.87,0.00272861
-1609.54,0.00273622
-1606.2,0.00274387
-1602.87,0.00275154
-1599.53,0.00275924
-1596.2,0.00276697
-1592.86,0.00277473
-1589.53,0.00278252
-1586.2,0.00279034
-1582.86,0.00279818
-1579.53,0.00280606
-1576.19,0.00281397
-1572.86,0.0028219
-1569.52,0.00282986
-1566.19,0.00283786
-1562.85,0.00284588
-1559.52,0.00285394
-1556.19,0.00286202
-1552.85,0.00287014
-1549.52,0.00287828
-1546.18,0.00288646
-1542.85,0.00289467
-1539.51,0.00290291
-1536.18,0.00291117
-1532.84,0.00291948
-1529.51,0.00292781
-1526.18,0.00293617
-1522.84,0.00294457
-1519.51,0.00295299
-1516.17,0.00296145
-1512.84,0.00296994
-1509.5,0.00297847
-1506.17,0.00298702
-1502.83,0.00299561
-1499.5,0.00300423
-1496.17,0.00301289
-1492.83,0.00302157
-1489.5,0.00303029
-1486.16,0.00303905
-1482.83,0.00304784
-1479.49,0.00305666
-1476.16,0.00306551
-1472.82,0.0030744
-1469.49,0.00308332
-1466.16,0.00309228
-1462.82,0.00310127
-1459.49,0.0031103
-1456.15,0.00311936
-1452.82,0.00312846
-1449.48,0.00313759
-1446.15,0.00314675
-1442.81,0.00315596
-1439.48,0.00316519
-1436.15,0.00317447
-1432.81,0.00318378
-1429.48,0.00319312
-1426.14,0.00320251
-1422.81,0.00321192
-1419.47,0.00322138
-1416.14,0.00323087
-1412.8,0.0032404
-1409.47,0.00324997
-1406.14,0.00325957
-1402.8,0.00326921
-1399.47,0.00327889
-1396.13,0.00328861
-1392.8,0.00329836
-1389.46,0.00330815
-1386.13,0.00331798
-1382.79,0.00332785
-1379.46,0.00333776
-1376.13,0.00334771
-1372.79,0.0033577
-1369.46,0.00336772
-1366.12,0.00337779
-1362.79,0.0033879
-1359.45,0.00339804
-1356.12,0.00340823
-1352.78,0.00341845
-1349.45,0.00342872
-1346.12,0.00343903
-1342.78,0.00344938
-1339.45,0.00345977
-1336.11,0.0034702
-1332.78,0.00348067
-1329.44,0.00349118
-1326.11,0.00350174
-1322.77,0.00351234
-1319.44,0.00352298
-1316.11,0.00353366
-1312.77,0.00354438
-1309.44,0.00355515
-1306.1,0.00356597
-1302.77,0.00357682
-1299.43,0.00358772
-1296.1,0.00359866
-1292.76,0.00360965
-1289.43,0.00362068
